enterprise_id,gst_score,upi_score,aa_score,epfo_score,overall_score,risk_tier,confidence,actual_default
MSME102961,,,78.3,79.9,78.7,A - Strong,2/4,0
MSME102962,42.9,,,,42.9,C - Weak,1/4,0
MSME102963,,60.2,73.8,77.2,69.1,B - Moderate,3/4,0
MSME102964,32.5,28.9,36.2,50.1,34.5,D - High Risk,4/4,1
MSME102965,59.2,52.4,,,56.4,B - Moderate,2/4,0
MSME102966,17.5,21.7,,,19.2,D - High Risk,2/4,1
MSME102967,,40.5,,,40.5,C - Weak,1/4,1
MSME102968,80.6,89.4,83.9,,84.1,A - Strong,3/4,0
MSME102969,57.6,53.7,,,56.0,B - Moderate,2/4,0
MSME102970,23.1,32.4,30.8,,28.2,D - High Risk,3/4,1
MSME102971,18.2,29.4,,,22.9,D - High Risk,2/4,0
MSME102972,,74.6,,,74.6,B - Moderate,1/4,0
MSME102973,,,86.8,83.8,86.0,A - Strong,2/4,0
MSME102974,37.6,53.2,,,44.1,C - Weak,2/4,0
MSME102975,75.3,,79.6,,77.3,A - Strong,2/4,0
MSME102976,,87.0,,,87.0,A - Strong,1/4,0
MSME102977,58.3,81.2,69.1,58.7,67.3,B - Moderate,4/4,0
MSME102978,26.1,,18.3,26.0,23.0,D - High Risk,3/4,0
MSME102979,78.4,78.6,,,78.5,A - Strong,2/4,0
MSME102980,71.0,85.7,,,77.1,A - Strong,2/4,0
MSME102981,79.1,83.0,,,80.7,A - Strong,2/4,0
MSME102982,33.5,59.7,43.6,,44.1,C - Weak,3/4,0
MSME102983,63.0,73.3,66.4,,67.0,B - Moderate,3/4,0
MSME102984,,85.1,90.0,,87.8,A - Strong,2/4,0
MSME102985,67.7,73.6,71.0,,70.4,B - Moderate,3/4,0
MSME102986,,,,64.7,64.7,B - Moderate,1/4,0
MSME102987,83.9,,86.7,,85.2,A - Strong,2/4,0
MSME102988,66.8,76.8,70.5,,70.8,B - Moderate,3/4,0
MSME102989,60.2,77.9,,,67.6,B - Moderate,2/4,0
MSME102990,50.2,52.7,,,51.2,C - Weak,2/4,0
MSME102991,36.6,45.3,25.0,,35.2,C - Weak,3/4,1
MSME102992,,73.2,,,73.2,B - Moderate,1/4,0
MSME102993,89.3,88.8,88.6,,88.9,A - Strong,3/4,0
MSME102994,,,,,,Unscoreable,0/4,1
MSME102995,45.3,,,,45.3,C - Weak,1/4,1
MSME102996,77.5,,83.1,,80.1,A - Strong,2/4,0
MSME102997,,44.0,40.1,54.6,43.8,C - Weak,3/4,1
MSME102998,73.4,91.2,,,80.8,A - Strong,2/4,0
MSME102999,,48.2,62.7,,56.1,B - Moderate,2/4,0
MSME103000,87.5,93.2,,77.6,88.1,A - Strong,3/4,0
MSME103001,49.1,43.9,,,46.9,C - Weak,2/4,0
MSME103002,,48.7,,,48.7,C - Weak,1/4,0
MSME103003,48.3,71.8,66.3,,60.8,B - Moderate,3/4,0
MSME103004,58.3,72.2,,,64.1,B - Moderate,2/4,0
MSME103005,70.5,,,84.3,73.6,B - Moderate,2/4,0
MSME103006,,81.7,73.3,,77.1,A - Strong,2/4,0
MSME103007,,64.4,,,64.4,B - Moderate,1/4,0
MSME103008,,,,53.2,53.2,C - Weak,1/4,0
MSME103009,,46.6,,,46.6,C - Weak,1/4,0
MSME103010,34.8,33.5,,,34.3,D - High Risk,2/4,0
MSME103011,77.9,93.0,,,84.2,A - Strong,2/4,0
MSME103012,67.4,,,61.3,66.0,B - Moderate,2/4,0
MSME103013,51.3,35.0,,56.7,46.2,C - Weak,3/4,1
MSME103014,,44.9,,,44.9,C - Weak,1/4,0
MSME103015,79.3,,,,79.3,A - Strong,1/4,0
MSME103016,78.0,87.6,66.9,,77.0,A - Strong,3/4,0
MSME103017,,49.0,,,49.0,C - Weak,1/4,0
MSME103018,,75.5,82.9,,79.5,A - Strong,2/4,0
MSME103019,75.2,68.2,79.5,,74.7,B - Moderate,3/4,0
MSME103020,,21.9,,,21.9,D - High Risk,1/4,0
MSME103021,41.7,,,,41.7,C - Weak,1/4,0
MSME103022,61.0,42.4,,,53.2,C - Weak,2/4,0
MSME103023,,65.1,86.7,88.5,78.7,A - Strong,3/4,0
MSME103024,22.5,27.1,,,24.4,D - High Risk,2/4,0
MSME103025,81.8,91.8,87.9,69.8,84.9,A - Strong,4/4,0
MSME103026,,66.7,73.2,,70.2,B - Moderate,2/4,0
MSME103027,,,,,,Unscoreable,0/4,0
MSME103028,20.4,20.6,31.5,,24.2,D - High Risk,3/4,1
MSME103029,,69.7,,,69.7,B - Moderate,1/4,0
MSME103030,69.7,,77.3,,73.2,B - Moderate,2/4,0
MSME103031,64.8,60.9,,,63.2,B - Moderate,2/4,1
MSME103032,56.4,80.5,44.9,,59.3,B - Moderate,3/4,0
MSME103033,,66.2,,,66.2,B - Moderate,1/4,0
MSME103034,,,,63.5,63.5,B - Moderate,1/4,0
MSME103035,64.6,61.5,72.9,,66.5,B - Moderate,3/4,0
MSME103036,33.9,44.7,28.6,24.6,34.1,D - High Risk,4/4,0
MSME103037,69.3,62.9,82.0,,71.8,B - Moderate,3/4,0
MSME103038,80.7,86.8,,,83.2,A - Strong,2/4,0
MSME103039,,54.8,,74.5,60.4,B - Moderate,2/4,0
MSME103040,73.1,75.0,,,73.9,B - Moderate,2/4,0
MSME103041,29.3,50.8,,,38.3,C - Weak,2/4,1
MSME103042,73.4,79.6,50.0,,67.3,B - Moderate,3/4,0
MSME103043,36.3,45.0,,,39.9,C - Weak,2/4,0
MSME103044,,,,,,Unscoreable,0/4,0
MSME103045,,25.3,,24.2,25.0,D - High Risk,2/4,0
MSME103046,,33.7,14.5,,23.2,D - High Risk,2/4,1
MSME103047,79.9,,80.0,89.2,81.2,A - Strong,3/4,0
MSME103048,51.1,55.2,50.4,,52.0,C - Weak,3/4,0
MSME103049,53.2,77.2,,,63.2,B - Moderate,2/4,0
MSME103050,,29.0,,,29.0,D - High Risk,1/4,1
MSME103051,,66.2,53.8,72.2,61.4,B - Moderate,3/4,0
MSME103052,55.3,,53.3,52.7,54.2,C - Weak,3/4,0
MSME103053,66.1,68.3,69.2,65.1,67.5,B - Moderate,4/4,0
MSME103054,,,,,,Unscoreable,0/4,0
MSME103055,43.0,51.0,,,46.3,C - Weak,2/4,0
MSME103056,85.0,82.7,,81.3,83.7,A - Strong,3/4,0
MSME103057,,56.2,63.9,,60.4,B - Moderate,2/4,0
MSME103058,,32.4,,,32.4,D - High Risk,1/4,0
MSME103059,,76.1,,89.1,79.8,A - Strong,2/4,0
MSME103060,,,59.7,42.7,55.5,B - Moderate,2/4,0
MSME103061,83.0,88.9,,,85.5,A - Strong,2/4,0
MSME103062,,39.1,,,39.1,C - Weak,1/4,1
MSME103063,66.2,,,,66.2,B - Moderate,1/4,0
MSME103064,55.3,52.9,48.6,,52.4,C - Weak,3/4,1
MSME103065,36.0,51.3,,,42.4,C - Weak,2/4,0
MSME103066,,47.3,,,47.3,C - Weak,1/4,0
MSME103067,23.8,32.9,,,27.6,D - High Risk,2/4,0
MSME103068,82.1,92.6,75.9,59.6,80.6,A - Strong,4/4,0
MSME103069,,65.8,44.6,,54.2,C - Weak,2/4,0
MSME103070,,59.6,66.2,,63.2,B - Moderate,2/4,0
MSME103071,,67.2,52.5,,59.2,B - Moderate,2/4,0
MSME103072,,70.0,62.3,76.0,67.4,B - Moderate,3/4,0
MSME103073,,25.2,36.1,,31.1,D - High Risk,2/4,0
MSME103074,33.8,34.8,68.0,,45.5,C - Weak,3/4,0
MSME103075,88.8,83.1,90.3,,87.7,A - Strong,3/4,0
MSME103076,71.9,62.5,65.6,,67.2,B - Moderate,3/4,0
MSME103077,73.0,69.5,,,71.5,B - Moderate,2/4,0
MSME103078,,72.5,,,72.5,B - Moderate,1/4,0
MSME103079,67.0,70.5,,,68.5,B - Moderate,2/4,0
MSME103080,,78.5,62.2,,69.6,B - Moderate,2/4,0
MSME103081,44.5,50.4,51.5,,48.5,C - Weak,3/4,0
MSME103082,,79.9,89.0,,84.9,A - Strong,2/4,0
MSME103083,,,62.9,60.5,62.3,B - Moderate,2/4,0
MSME103084,49.1,55.5,53.7,47.8,51.9,C - Weak,4/4,0
MSME103085,,47.0,39.1,,42.7,C - Weak,2/4,0
MSME103086,,86.1,88.9,,87.6,A - Strong,2/4,0
MSME103087,,18.9,,,18.9,D - High Risk,1/4,0
MSME103088,,57.3,,,57.3,B - Moderate,1/4,0
MSME103089,75.1,,76.8,80.7,76.5,A - Strong,3/4,0
MSME103090,26.4,30.6,,,28.1,D - High Risk,2/4,0
MSME103091,,64.9,69.2,72.8,68.1,B - Moderate,3/4,0
MSME103092,49.2,,,,49.2,C - Weak,1/4,0
MSME103093,65.1,,77.3,74.2,71.2,B - Moderate,3/4,0
MSME103094,,,,,,Unscoreable,0/4,0
MSME103095,,81.7,59.7,,69.7,B - Moderate,2/4,0
MSME103096,,83.1,,,83.1,A - Strong,1/4,0
MSME103097,,33.7,,,33.7,D - High Risk,1/4,1
MSME103098,,26.9,,,26.9,D - High Risk,1/4,1
MSME103099,,79.1,,,79.1,A - Strong,1/4,0
MSME103100,29.8,37.5,27.2,37.5,31.7,D - High Risk,4/4,0
MSME103101,72.2,70.6,42.9,,62.0,B - Moderate,3/4,0
MSME103102,41.5,,19.1,23.9,30.2,D - High Risk,3/4,0
MSME103103,79.3,84.5,59.3,,74.1,B - Moderate,3/4,0
MSME103104,66.0,84.4,,,73.7,B - Moderate,2/4,0
MSME103105,63.3,,69.9,,66.3,B - Moderate,2/4,0
MSME103106,56.9,48.3,,,53.3,C - Weak,2/4,0
MSME103107,31.7,26.7,15.1,,24.8,D - High Risk,3/4,1
MSME103108,60.9,,,,60.9,B - Moderate,1/4,0
MSME103109,56.5,,,34.0,51.5,C - Weak,2/4,0
MSME103110,46.4,57.4,47.5,,49.8,C - Weak,3/4,0
MSME103111,48.4,65.8,,,55.6,B - Moderate,2/4,0
MSME103112,68.0,,50.6,,60.0,B - Moderate,2/4,0
MSME103113,41.9,50.7,,46.6,45.7,C - Weak,3/4,0
MSME103114,,,,,,Unscoreable,0/4,0
MSME103115,86.0,93.7,77.8,,85.4,A - Strong,3/4,0
MSME103116,45.3,76.2,,,58.2,B - Moderate,2/4,0
MSME103117,65.9,56.8,54.6,58.4,59.5,B - Moderate,4/4,0
MSME103118,87.3,94.4,,,90.3,A - Strong,2/4,0
MSME103119,68.2,,78.3,,72.9,B - Moderate,2/4,0
MSME103120,,84.0,,,84.0,A - Strong,1/4,0
MSME103121,37.8,30.1,,42.5,35.7,C - Weak,3/4,1
MSME103122,,55.1,31.1,,42.0,C - Weak,2/4,0
MSME103123,60.2,53.1,,44.0,55.4,B - Moderate,3/4,0
MSME103124,,23.3,,,23.3,D - High Risk,1/4,0
MSME103125,17.1,24.9,,,20.4,D - High Risk,2/4,0
MSME103126,53.6,60.0,55.1,,55.9,B - Moderate,3/4,0
MSME103127,,59.3,67.0,,63.5,B - Moderate,2/4,0
MSME103128,84.3,93.0,80.0,87.5,85.5,A - Strong,4/4,0
MSME103129,82.8,,84.0,86.5,83.8,A - Strong,3/4,0
MSME103130,,54.4,,,54.4,C - Weak,1/4,0
MSME103131,81.2,91.8,85.5,92.7,86.3,A - Strong,4/4,0
MSME103132,72.3,79.9,66.4,,72.4,B - Moderate,3/4,0
MSME103133,,58.6,57.2,,57.8,B - Moderate,2/4,0
MSME103134,,67.5,60.2,,63.5,B - Moderate,2/4,0
MSME103135,51.5,,,40.2,49.0,C - Weak,2/4,0
MSME103136,,64.6,,,64.6,B - Moderate,1/4,0
MSME103137,76.6,87.1,,,81.0,A - Strong,2/4,0
MSME103138,,,,,,Unscoreable,0/4,0
MSME103139,,39.6,35.6,,37.4,C - Weak,2/4,0
MSME103140,,28.9,,,28.9,D - High Risk,1/4,0
MSME103141,,37.6,,,37.6,C - Weak,1/4,0
MSME103142,,63.4,,,63.4,B - Moderate,1/4,0
MSME103143,16.0,28.8,,,21.3,D - High Risk,2/4,0
MSME103144,87.8,93.2,87.2,,89.1,A - Strong,3/4,0
MSME103145,84.3,,78.0,,81.4,A - Strong,2/4,0
MSME103146,,,16.3,28.3,19.3,D - High Risk,2/4,1
MSME103147,70.7,75.6,,,72.7,B - Moderate,2/4,0
MSME103148,85.6,,87.2,88.7,86.7,A - Strong,3/4,0
MSME103149,,,,,,Unscoreable,0/4,0
MSME103150,86.1,91.4,74.6,,83.7,A - Strong,3/4,0
MSME103151,30.1,37.3,,,33.1,D - High Risk,2/4,0
MSME103152,,35.4,45.4,,40.9,C - Weak,2/4,1
MSME103153,,49.2,39.4,,43.9,C - Weak,2/4,0
MSME103154,40.1,,,75.3,47.9,C - Weak,2/4,0
MSME103155,,24.1,29.9,,27.3,D - High Risk,2/4,1
MSME103156,,50.1,,,50.1,C - Weak,1/4,1
MSME103157,21.0,21.6,17.4,,20.0,D - High Risk,3/4,0
MSME103158,,43.0,44.2,,43.7,C - Weak,2/4,0
MSME103159,65.9,76.3,,,70.2,B - Moderate,2/4,0
MSME103160,40.7,40.5,23.7,,35.0,C - Weak,3/4,0
MSME103161,91.1,93.8,,,92.2,A - Strong,2/4,0
MSME103162,,79.1,78.6,,78.8,A - Strong,2/4,0
MSME103163,26.1,38.9,31.4,32.4,31.5,D - High Risk,4/4,0
MSME103164,,82.1,76.1,,78.8,A - Strong,2/4,0
MSME103165,58.9,85.7,81.1,,73.7,B - Moderate,3/4,0
MSME103166,32.2,35.5,36.0,,34.4,D - High Risk,3/4,1
MSME103167,25.2,28.4,,,26.5,D - High Risk,2/4,0
MSME103168,43.4,28.1,34.9,,36.3,C - Weak,3/4,0
MSME103169,46.9,60.5,59.7,,54.9,C - Weak,3/4,0
MSME103170,,31.1,25.5,,28.0,D - High Risk,2/4,1
MSME103171,,54.2,53.1,,53.6,C - Weak,2/4,0
MSME103172,82.7,88.8,,88.6,85.7,A - Strong,3/4,0
MSME103173,70.1,84.1,,65.7,74.5,B - Moderate,3/4,0
MSME103174,49.0,,69.5,,58.5,B - Moderate,2/4,0
MSME103175,29.7,56.7,,,41.0,C - Weak,2/4,0
MSME103176,,,40.3,,40.3,C - Weak,1/4,0
MSME103177,,31.8,,,31.8,D - High Risk,1/4,0
MSME103178,,41.0,,,41.0,C - Weak,1/4,0
MSME103179,59.4,49.4,59.5,,56.7,B - Moderate,3/4,0
MSME103180,82.0,,,85.3,82.7,A - Strong,2/4,0
MSME103181,76.2,83.6,,,79.3,A - Strong,2/4,0
MSME103182,,55.3,,,55.3,B - Moderate,1/4,0
MSME103183,,60.2,,,60.2,B - Moderate,1/4,0
MSME103184,65.5,,70.0,,67.6,B - Moderate,2/4,0
MSME103185,62.8,50.1,,,57.5,B - Moderate,2/4,0
MSME103186,,60.1,22.1,,39.4,C - Weak,2/4,0
MSME103187,,46.7,,88.5,58.6,B - Moderate,2/4,0
MSME103188,32.1,37.5,35.4,,34.7,D - High Risk,3/4,0
MSME103189,36.6,41.4,,,38.6,C - Weak,2/4,0
MSME103190,56.6,75.1,,,64.3,B - Moderate,2/4,0
MSME103191,59.2,59.5,65.4,,61.4,B - Moderate,3/4,0
MSME103192,,66.9,,,66.9,B - Moderate,1/4,0
MSME103193,,64.4,77.1,,71.3,B - Moderate,2/4,0
MSME103194,,34.4,53.6,,44.9,C - Weak,2/4,0
MSME103195,,60.5,,49.3,57.3,B - Moderate,2/4,0
MSME103196,,23.4,30.1,,27.1,D - High Risk,2/4,1
MSME103197,68.6,,73.3,,70.8,B - Moderate,2/4,0
MSME103198,,55.8,,,55.8,B - Moderate,1/4,1
MSME103199,54.9,,76.6,78.3,66.7,B - Moderate,3/4,0
MSME103200,,68.2,56.7,,61.9,B - Moderate,2/4,0
MSME103201,39.2,60.6,36.4,,44.2,C - Weak,3/4,0
MSME103202,,65.1,,,65.1,B - Moderate,1/4,0
MSME103203,22.8,,,37.3,26.0,D - High Risk,2/4,0
MSME103204,,,,,,Unscoreable,0/4,0
MSME103205,,41.8,,,41.8,C - Weak,1/4,1
MSME103206,69.1,83.8,75.5,,75.3,A - Strong,3/4,0
MSME103207,79.0,65.5,92.6,,79.8,A - Strong,3/4,0
MSME103208,,80.7,,45.1,70.5,B - Moderate,2/4,0
MSME103209,85.7,92.0,,,88.3,A - Strong,2/4,0
MSME103210,,58.7,,,58.7,B - Moderate,1/4,0
MSME103211,81.8,80.2,77.3,83.6,80.2,A - Strong,4/4,0
MSME103212,,59.6,66.4,54.1,61.9,B - Moderate,3/4,1
MSME103213,,29.2,,,29.2,D - High Risk,1/4,0
MSME103214,79.5,79.7,,,79.6,A - Strong,2/4,0
MSME103215,72.8,58.5,70.5,,68.1,B - Moderate,3/4,0
MSME103216,,35.9,,40.1,37.1,C - Weak,2/4,0
MSME103217,33.3,44.7,,,38.0,C - Weak,2/4,1
MSME103218,74.3,85.2,,,78.8,A - Strong,2/4,0
MSME103219,,,88.2,,88.2,A - Strong,1/4,0
MSME103220,,78.5,,,78.5,A - Strong,1/4,0
MSME103221,79.4,87.4,82.2,,82.6,A - Strong,3/4,0
MSME103222,,,77.7,,77.7,A - Strong,1/4,0
MSME103223,,,62.6,,62.6,B - Moderate,1/4,0
MSME103224,19.7,26.3,,,22.5,D - High Risk,2/4,1
MSME103225,49.4,61.3,,52.0,54.0,C - Weak,3/4,0
MSME103226,,81.5,,,81.5,A - Strong,1/4,0
MSME103227,,22.5,,,22.5,D - High Risk,1/4,0
MSME103228,,86.4,79.2,,82.5,A - Strong,2/4,0
MSME103229,67.0,74.9,,,70.3,B - Moderate,2/4,0
MSME103230,59.9,47.6,,,54.8,C - Weak,2/4,0
MSME103231,,67.1,,,67.1,B - Moderate,1/4,0
MSME103232,18.5,31.9,,17.3,23.1,D - High Risk,3/4,1
MSME103233,,25.9,,,25.9,D - High Risk,1/4,0
MSME103234,45.2,58.1,54.1,,51.8,C - Weak,3/4,0
MSME103235,40.3,30.5,,,36.2,C - Weak,2/4,0
MSME103236,48.9,,,,48.9,C - Weak,1/4,0
MSME103237,45.0,53.1,,,48.4,C - Weak,2/4,0
MSME103238,,48.3,34.1,,40.6,C - Weak,2/4,0
MSME103239,70.3,67.4,,,69.1,B - Moderate,2/4,0
MSME103240,81.8,94.1,,,86.9,A - Strong,2/4,0
MSME103241,49.8,73.8,,,59.8,B - Moderate,2/4,0
MSME103242,79.4,79.4,83.6,,80.8,A - Strong,3/4,0
MSME103243,32.9,53.7,,,41.6,C - Weak,2/4,0
MSME103244,77.7,83.9,71.1,,77.2,A - Strong,3/4,0
MSME103245,57.1,64.6,,48.7,58.6,B - Moderate,3/4,0
MSME103246,31.5,27.7,36.8,,32.2,D - High Risk,3/4,0
MSME103247,59.5,,67.4,56.9,62.3,B - Moderate,3/4,1
MSME103248,59.2,,65.2,,62.0,B - Moderate,2/4,0
MSME103249,,49.5,62.8,,56.8,B - Moderate,2/4,0
MSME103250,25.2,29.8,19.9,,24.7,D - High Risk,3/4,0
MSME103251,,38.1,39.7,,39.0,C - Weak,2/4,0
MSME103252,,,,,,Unscoreable,0/4,0
MSME103253,,72.9,64.7,50.2,65.6,B - Moderate,3/4,1
MSME103254,,,51.2,,51.2,C - Weak,1/4,0
MSME103255,,60.4,,,60.4,B - Moderate,1/4,0
MSME103256,,72.8,,,72.8,B - Moderate,1/4,0
MSME103257,56.0,47.6,41.9,,49.0,C - Weak,3/4,0
MSME103258,,64.9,,,64.9,B - Moderate,1/4,0
MSME103259,,65.4,,,65.4,B - Moderate,1/4,0
MSME103260,27.1,34.4,,18.8,28.5,D - High Risk,3/4,0
MSME103261,,,23.9,41.3,28.2,D - High Risk,2/4,0
MSME103262,,32.5,59.9,,47.4,C - Weak,2/4,0
MSME103263,,90.2,,,90.2,A - Strong,1/4,0
MSME103264,,23.0,,19.1,21.9,D - High Risk,2/4,0
MSME103265,42.4,48.7,,,45.0,C - Weak,2/4,1
MSME103266,73.5,81.2,89.8,,81.1,A - Strong,3/4,0
MSME103267,88.0,,92.6,91.4,90.3,A - Strong,3/4,0
MSME103268,88.1,,,91.8,88.9,A - Strong,2/4,0
MSME103269,,40.3,32.8,,36.2,C - Weak,2/4,0
MSME103270,90.8,92.5,89.9,91.7,91.0,A - Strong,4/4,0
MSME103271,58.0,55.3,52.2,,55.3,B - Moderate,3/4,0
MSME103272,67.0,70.2,,,68.3,B - Moderate,2/4,0
MSME103273,,24.2,,31.7,26.3,D - High Risk,2/4,0
MSME103274,,53.4,60.3,,57.2,B - Moderate,2/4,0
MSME103275,82.9,,82.6,,82.8,A - Strong,2/4,0
MSME103276,,79.2,,,79.2,A - Strong,1/4,0
MSME103277,,35.2,,,35.2,C - Weak,1/4,0
MSME103278,88.7,79.7,84.7,,84.9,A - Strong,3/4,0
MSME103279,,40.5,,,40.5,C - Weak,1/4,0
MSME103280,74.4,,75.2,,74.8,B - Moderate,2/4,0
MSME103281,70.2,78.3,,,73.6,B - Moderate,2/4,0
MSME103282,69.5,75.5,,,72.0,B - Moderate,2/4,0
MSME103283,,64.6,,,64.6,B - Moderate,1/4,0
MSME103284,32.9,35.6,,,34.0,D - High Risk,2/4,0
MSME103285,77.8,93.9,81.0,83.1,83.3,A - Strong,4/4,0
MSME103286,68.2,86.6,81.7,79.8,78.0,A - Strong,4/4,0
MSME103287,,86.7,82.7,80.9,84.0,A - Strong,3/4,0
MSME103288,,47.2,,,47.2,C - Weak,1/4,0
MSME103289,60.4,45.7,64.3,,57.6,B - Moderate,3/4,0
MSME103290,,67.4,50.2,,58.0,B - Moderate,2/4,0
MSME103291,49.7,53.4,52.0,58.5,52.2,C - Weak,4/4,0
MSME103292,70.3,58.0,78.0,,69.5,B - Moderate,3/4,0
MSME103293,45.9,53.2,,39.0,47.5,C - Weak,3/4,0
MSME103294,53.0,49.3,67.0,,56.6,B - Moderate,3/4,0
MSME103295,,,55.8,76.4,60.9,B - Moderate,2/4,0
MSME103296,,29.3,,,29.3,D - High Risk,1/4,0
MSME103297,,57.4,,,57.4,B - Moderate,1/4,0
MSME103298,44.7,64.6,63.0,,56.3,B - Moderate,3/4,0
MSME103299,,84.0,,,84.0,A - Strong,1/4,0
MSME103300,58.3,,64.8,43.5,58.9,B - Moderate,3/4,0
MSME103301,,33.2,20.6,31.6,27.1,D - High Risk,3/4,0
MSME103302,84.7,93.6,86.1,,87.6,A - Strong,3/4,0
MSME103303,26.2,,,,26.2,D - High Risk,1/4,0
MSME103304,64.1,,49.0,,57.1,B - Moderate,2/4,0
MSME103305,89.8,92.7,,,91.0,A - Strong,2/4,0
MSME103306,,28.5,42.4,,36.1,C - Weak,2/4,0
MSME103307,51.7,56.5,61.3,,56.2,B - Moderate,3/4,0
MSME103308,,81.7,80.9,,81.3,A - Strong,2/4,0
MSME103309,,35.8,49.4,,43.2,C - Weak,2/4,0
MSME103310,81.0,93.0,71.6,,81.2,A - Strong,3/4,0
MSME103311,51.6,,58.0,56.9,54.9,C - Weak,3/4,1
MSME103312,26.5,34.9,,,30.0,D - High Risk,2/4,0
MSME103313,,,57.5,,57.5,B - Moderate,1/4,0
MSME103314,31.4,32.2,25.0,,29.5,D - High Risk,3/4,0
MSME103315,41.8,,55.2,,48.0,C - Weak,2/4,0
MSME103316,83.8,,80.4,81.9,82.2,A - Strong,3/4,0
MSME103317,62.4,80.7,,,70.0,B - Moderate,2/4,0
MSME103318,,58.9,,,58.9,B - Moderate,1/4,0
MSME103319,,38.0,,,38.0,C - Weak,1/4,0
MSME103320,32.0,45.7,,,37.7,C - Weak,2/4,0
MSME103321,,60.1,52.8,56.2,56.1,B - Moderate,3/4,0
MSME103322,90.1,87.8,90.1,92.1,89.7,A - Strong,4/4,0
MSME103323,,78.1,,,78.1,A - Strong,1/4,0
MSME103324,,,,,,Unscoreable,0/4,1
MSME103325,72.0,,76.4,,74.0,B - Moderate,2/4,0
MSME103326,,47.5,63.0,,56.0,B - Moderate,2/4,0
MSME103327,76.8,86.3,,50.5,76.4,A - Strong,3/4,0
MSME103328,,69.9,34.8,,50.8,C - Weak,2/4,0
MSME103329,,77.8,,,77.8,A - Strong,1/4,0
MSME103330,51.0,63.6,,69.0,58.1,B - Moderate,3/4,0
MSME103331,45.4,53.8,36.2,46.6,44.9,C - Weak,4/4,0
MSME103332,,73.1,,,73.1,B - Moderate,1/4,0
MSME103333,,47.5,,,47.5,C - Weak,1/4,0
MSME103334,43.2,47.3,,,44.9,C - Weak,2/4,0
MSME103335,,55.1,,,55.1,B - Moderate,1/4,0
MSME103336,77.4,70.3,,,74.4,B - Moderate,2/4,0
MSME103337,,,36.2,,36.2,C - Weak,1/4,1
MSME103338,,25.4,22.5,26.6,24.2,D - High Risk,3/4,1
MSME103339,87.7,90.9,86.7,,88.3,A - Strong,3/4,0
MSME103340,,24.7,,,24.7,D - High Risk,1/4,1
MSME103341,84.0,87.9,83.9,,85.1,A - Strong,3/4,0
MSME103342,,41.6,,,41.6,C - Weak,1/4,1
MSME103343,,25.2,,,25.2,D - High Risk,1/4,0
MSME103344,43.3,,,,43.3,C - Weak,1/4,0
MSME103345,44.5,61.0,39.6,,47.5,C - Weak,3/4,0
MSME103346,91.1,91.9,,,91.4,A - Strong,2/4,0
MSME103347,,40.3,,,40.3,C - Weak,1/4,0
MSME103348,,,49.2,76.1,55.9,B - Moderate,2/4,0
MSME103349,,42.1,,,42.1,C - Weak,1/4,0
MSME103350,,32.6,,,32.6,D - High Risk,1/4,1
MSME103351,,27.8,30.2,,29.1,D - High Risk,2/4,0
MSME103352,84.1,84.8,,,84.4,A - Strong,2/4,0
MSME103353,,56.3,,,56.3,B - Moderate,1/4,0
MSME103354,89.9,94.1,82.2,,88.5,A - Strong,3/4,0
MSME103355,,31.1,37.4,,34.5,D - High Risk,2/4,0
MSME103356,60.1,69.9,,,64.2,B - Moderate,2/4,0
MSME103357,46.5,46.4,44.8,,45.9,C - Weak,3/4,0
MSME103358,66.7,78.4,58.7,,67.3,B - Moderate,3/4,0
MSME103359,40.0,42.4,45.4,,42.5,C - Weak,3/4,0
MSME103360,87.5,83.2,,67.0,83.0,A - Strong,3/4,0
MSME103361,,81.5,68.8,68.8,73.7,B - Moderate,3/4,0
MSME103362,,33.3,,,33.3,D - High Risk,1/4,1
MSME103363,,36.7,,43.6,38.7,C - Weak,2/4,0
MSME103364,64.0,78.6,62.9,,67.7,B - Moderate,3/4,0
MSME103365,77.1,63.3,,,71.3,B - Moderate,2/4,0
MSME103366,,,,,,Unscoreable,0/4,0
MSME103367,55.7,58.2,,66.4,58.1,B - Moderate,3/4,0
MSME103368,70.4,80.4,,,74.6,B - Moderate,2/4,0
MSME103369,,60.6,46.1,,52.7,C - Weak,2/4,0
MSME103370,91.3,93.0,90.0,88.5,91.1,A - Strong,4/4,0
MSME103371,,48.0,,71.1,54.6,C - Weak,2/4,0
MSME103372,72.6,80.5,73.7,,75.2,A - Strong,3/4,0
MSME103373,,46.1,,,46.1,C - Weak,1/4,0
MSME103374,58.2,83.7,,58.3,67.3,B - Moderate,3/4,0
MSME103375,75.3,89.0,68.5,,76.8,A - Strong,3/4,0
MSME103376,57.6,66.2,68.1,,63.5,B - Moderate,3/4,0
MSME103377,35.6,,,51.7,39.2,C - Weak,2/4,0
MSME103378,67.4,68.1,52.1,,62.5,B - Moderate,3/4,0
MSME103379,85.1,,88.0,84.5,86.2,A - Strong,3/4,0
MSME103380,17.8,17.0,,,17.5,D - High Risk,2/4,1
MSME103381,69.7,,,83.2,72.7,B - Moderate,2/4,0
MSME103382,41.5,,25.5,27.0,33.2,D - High Risk,3/4,1
MSME103383,65.0,,82.8,,73.2,B - Moderate,2/4,0
MSME103384,32.5,31.6,,,32.1,D - High Risk,2/4,1
MSME103385,73.8,,89.5,,81.0,A - Strong,2/4,0
MSME103386,52.8,34.2,,,45.0,C - Weak,2/4,0
