enterprise_id,segment,sector,years_in_operation,is_ntc,is_ntb,gst_registered,gst_filing_consistency_pct,gst_turnover_growth_rate,gst_avg_monthly_turnover_inr,gst_late_filing_count_12m,upi_available,upi_monthly_txn_count,upi_avg_inflow_inr,upi_inflow_volatility,upi_bounce_rate_pct,aa_consent_given,aa_avg_bank_balance_inr,aa_trade_payable_days,aa_cash_flow_ratio,aa_emi_to_inflow_ratio,aa_overdraft_utilization_pct,epfo_registered,epfo_employee_count,epfo_contribution_consistency_pct,epfo_avg_wage_inr,epfo_employee_growth_rate,default_flag,gst_score,upi_score,aa_score,epfo_score,overall_health_score,risk_tier
MSME100887,Micro,Trading/Retail,27.5,0,0,0,,,,,1,10.0,33500.0,0.05,1.11,0,,,,,,1,3.0,76.5,14900.0,11.34,0,,63.4,,57.7,61.3,Low Risk
MSME100888,Micro,Agriculture & Allied,9.1,0,0,1,65.7,-9.81,33800.0,1.0,0,,,,,0,,,,,,0,,,,,0,57.9,,,,57.9,Moderate Risk
MSME100889,Small,Services,6.2,0,1,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,,
MSME100890,Micro,Construction,0.7,1,0,0,,,,,1,16.0,23800.0,0.474,16.65,0,,,,,,0,,,,,0,,39.1,,,39.1,High Risk
MSME100891,Medium,Textile,2.8,0,0,1,43.5,-6.36,1933800.0,4.0,1,512.0,1011800.0,0.189,7.92,1,1139800.0,51.8,1.17,0.291,34.8,0,,,,,0,40.3,62.7,62.5,,54.7,Moderate Risk
MSME100892,Micro,Manufacturing,2.0,0,1,0,,,,,1,13.0,26900.0,0.377,12.89,0,,,,,,0,,,,,0,,44.8,,,44.8,Moderate Risk
MSME100893,Micro,Trading/Retail,13.4,0,1,0,,,,,1,13.0,27500.0,0.198,7.72,1,24800.0,61.9,1.54,0.335,30.9,0,,,,,0,,53.9,63.1,,58.9,Moderate Risk
MSME100894,Small,Food Processing,1.8,0,1,0,,,,,1,8.0,28600.0,0.305,13.1,1,14400.0,76.5,0.57,0.56,67.0,0,,,,,0,,46.3,40.0,,42.9,Moderate Risk
MSME100895,Small,Services,3.9,1,1,0,,,,,1,13.0,27200.0,0.35,12.17,0,,,,,,0,,,,,0,,46.1,,,46.1,Moderate Risk
MSME100896,Micro,Manufacturing,6.7,0,0,0,,,,,1,9.0,40700.0,0.168,11.5,1,12400.0,46.7,1.17,0.416,31.4,0,,,,,0,,51.2,60.7,,56.4,Moderate Risk
MSME100897,Micro,Services,3.3,1,1,1,5.0,2.74,32900.0,6.0,1,1.0,12900.0,0.483,15.75,0,,,,,,0,,,,,0,18.8,39.4,,,28.2,High Risk
MSME100898,Micro,Construction,3.8,0,0,1,8.2,-11.86,39600.0,4.0,1,2.0,22600.0,0.458,12.31,0,,,,,,0,,,,,0,21.0,43.1,,,31.0,High Risk
MSME100899,Micro,Manufacturing,6.2,0,1,1,55.2,9.95,34400.0,1.0,1,8.0,20800.0,0.387,8.95,0,,,,,,0,,,,,0,58.6,47.9,,,53.7,Moderate Risk
MSME100900,Micro,Trading/Retail,2.6,1,0,1,64.6,-2.56,31700.0,2.0,1,7.0,20500.0,0.236,10.58,0,,,,,,0,,,,,0,57.0,50.3,,,54.0,Moderate Risk
MSME100901,Micro,Construction,5.6,0,1,0,,,,,1,4.0,23300.0,0.341,10.77,1,12500.0,103.2,0.46,0.29,66.5,0,,,,,0,,47.4,42.0,,44.5,Moderate Risk
MSME100902,Micro,Construction,8.8,0,1,0,,,,,1,4.0,22700.0,0.405,10.77,1,13800.0,77.3,0.65,0.536,73.5,0,,,,,0,,45.8,39.8,,42.5,Moderate Risk
MSME100903,Micro,IT/ITES,3.0,0,1,1,96.2,0.28,40000.0,3.0,1,11.0,27500.0,0.132,7.54,1,23900.0,39.2,0.78,0.306,19.9,0,,,,,0,71.2,55.7,64.3,,64.2,Low Risk
MSME100904,Medium,Trading/Retail,2.0,1,0,0,,,,,1,11.0,36000.0,0.222,6.12,0,,,,,,1,101.0,73.3,19600.0,4.75,0,,54.6,,54.8,54.7,Moderate Risk
MSME100905,Small,Agriculture & Allied,15.4,0,1,0,,,,,0,,,,,1,13900.0,52.7,1.28,0.26,42.4,0,,,,,0,,,62.4,,62.4,Low Risk
MSME100906,Micro,Construction,15.6,0,0,1,84.6,3.91,46400.0,3.0,1,11.0,35000.0,0.415,5.98,1,11200.0,42.0,0.87,0.284,26.2,0,,,,,0,66.5,49.8,63.8,,60.6,Low Risk
MSME100907,Micro,Construction,4.8,0,1,1,23.7,-3.68,44800.0,1.0,1,12.0,24000.0,0.434,13.23,0,,,,,,0,,,,,0,38.7,43.0,,,40.7,Moderate Risk
MSME100908,Micro,Manufacturing,5.5,1,1,0,,,,,1,9.0,33500.0,0.735,10.71,1,19400.0,79.9,1.0,0.494,47.4,0,,,,,0,,37.5,48.4,,43.4,Moderate Risk
MSME100909,Micro,Trading/Retail,5.4,1,0,0,,,,,1,8.0,18900.0,0.522,7.23,0,,,,,,0,,,,,0,,46.0,,,46.0,Moderate Risk
MSME100910,Small,Services,3.6,0,0,1,87.4,14.24,405100.0,2.0,1,121.0,199400.0,0.468,8.83,0,,,,,,0,,,,,0,73.5,47.9,,,61.9,Low Risk
MSME100911,Small,Manufacturing,4.7,1,1,1,9.6,-1.33,305800.0,3.0,1,51.0,170300.0,0.545,10.28,0,,,,,,0,,,,,0,27.4,43.5,,,34.7,High Risk
MSME100912,Small,Manufacturing,0.7,0,0,1,76.3,5.34,346400.0,1.0,0,,,,,1,90600.0,38.0,0.13,0.335,31.9,1,20.0,54.2,16300.0,-5.19,0,67.8,,56.4,39.4,57.6,Moderate Risk
MSME100913,Medium,Agriculture & Allied,1.4,1,0,1,59.2,-22.84,1861300.0,6.0,0,,,,,1,495400.0,77.5,0.39,0.518,40.9,1,66.0,25.4,15100.0,-8.56,0,38.2,,44.9,23.0,37.8,High Risk
MSME100914,Medium,Trading/Retail,3.8,1,0,0,,,,,0,,,,,1,12800.0,74.7,0.28,0.277,43.8,1,79.0,17.8,14500.0,2.41,0,,,50.4,24.1,41.6,Moderate Risk
MSME100915,Medium,Agriculture & Allied,3.0,1,0,0,,,,,0,,,,,1,7600.0,76.7,0.52,0.4,65.0,1,65.0,23.1,12900.0,1.08,0,,,44.3,25.5,38.0,High Risk
MSME100916,Micro,Services,1.6,0,1,0,,,,,0,,,,,1,15900.0,88.4,0.46,0.53,69.8,0,,,,,0,,,37.4,,37.4,High Risk
MSME100917,Micro,Textile,4.7,0,1,0,,,,,0,,,,,1,6300.0,95.9,0.87,0.542,66.2,0,,,,,1,,,39.6,,39.6,High Risk
MSME100918,Micro,Manufacturing,8.1,0,0,1,18.9,-13.32,30800.0,8.0,1,7.0,17800.0,0.717,19.12,0,,,,,,0,,,,,0,16.0,30.6,,,22.6,High Risk
MSME100919,Micro,Food Processing,2.6,1,0,1,5.0,5.87,16500.0,7.0,1,9.0,5100.0,0.576,15.21,0,,,,,,0,,,,,1,17.3,37.6,,,26.5,High Risk
MSME100920,Micro,Services,6.2,0,1,0,,,,,1,12.0,25800.0,0.202,6.81,0,,,,,,0,,,,,0,,54.5,,,54.5,Moderate Risk
MSME100921,Small,Agriculture & Allied,3.9,0,0,0,,,,,1,5.0,22100.0,0.368,12.0,1,17000.0,85.7,0.32,0.449,58.4,0,,,,,0,,45.7,41.3,,43.3,Moderate Risk
MSME100922,Micro,Trading/Retail,9.1,0,0,0,,,,,1,10.0,32200.0,0.498,11.66,0,,,,,,0,,,,,0,,42.7,,,42.7,Moderate Risk
MSME100923,Micro,Trading/Retail,1.3,0,0,1,21.4,-17.0,35500.0,3.0,0,,,,,0,,,,,,0,,,,,0,28.6,,,,28.6,High Risk
MSME100924,Micro,Agriculture & Allied,1.9,1,1,0,,,,,1,9.0,16200.0,0.553,17.38,1,6600.0,97.8,0.21,0.6,70.7,0,,,,,1,,36.3,31.8,,33.8,High Risk
MSME100925,Micro,Trading/Retail,3.7,0,0,1,53.8,-19.12,41200.0,10.0,1,4.0,21300.0,0.386,9.23,1,9900.0,89.8,0.22,0.475,33.9,0,,,,,0,31.7,47.6,44.0,,40.7,Moderate Risk
MSME100926,Micro,Food Processing,2.3,1,1,0,,,,,1,5.0,18600.0,0.681,13.32,0,,,,,,0,,,,,0,,36.5,,,36.5,High Risk
MSME100927,Small,Trading/Retail,11.1,0,1,1,39.9,15.07,311600.0,5.0,0,,,,,1,117000.0,70.1,0.87,0.386,55.0,0,,,,,0,42.5,,50.5,,46.5,Moderate Risk
MSME100928,Micro,Trading/Retail,1.4,0,0,1,12.8,10.07,36700.0,1.0,1,11.0,19300.0,0.534,13.58,0,,,,,,0,,,,,1,37.4,40.2,,,38.7,High Risk
MSME100929,Small,Services,3.6,1,0,1,31.6,16.97,305400.0,3.0,1,56.0,149300.0,0.579,13.3,0,,,,,,1,19.0,26.0,19800.0,0.05,0,43.9,40.0,,29.1,39.3,High Risk
MSME100930,Micro,Services,17.7,0,0,0,,,,,1,10.0,35900.0,0.17,6.19,1,25000.0,56.2,0.84,0.286,23.4,0,,,,,0,,55.9,61.6,,59.0,Moderate Risk
MSME100931,Micro,Services,1.3,0,1,0,,,,,1,18.0,29900.0,0.325,14.28,0,,,,,,1,4.0,33.4,12200.0,2.14,0,,45.0,,30.8,39.7,High Risk
MSME100932,Micro,Services,5.1,0,1,1,66.0,15.36,50500.0,3.0,1,21.0,35300.0,0.109,9.48,0,,,,,,0,,,,,0,60.6,54.7,,,57.9,Moderate Risk
MSME100933,Small,Construction,3.9,0,1,1,23.3,-5.03,239200.0,4.0,1,37.0,147100.0,0.528,13.46,1,66400.0,87.0,0.09,0.395,58.9,0,,,,,0,30.6,40.9,40.7,,37.2,High Risk
MSME100934,Small,IT/ITES,6.8,0,0,1,63.5,15.32,324800.0,0.0,0,,,,,0,,,,,,0,,,,,0,66.8,,,,66.8,Low Risk
MSME100935,Micro,Manufacturing,6.3,0,1,1,18.3,-0.04,37700.0,7.0,1,9.0,23200.0,0.43,15.8,1,7500.0,81.8,0.55,0.564,49.0,1,6.0,31.5,13800.0,-3.52,0,22.1,40.8,42.5,27.9,33.8,High Risk
MSME100936,Medium,Manufacturing,6.0,0,0,1,61.8,0.94,1953100.0,4.0,1,458.0,1387000.0,0.429,6.21,1,595800.0,72.1,0.62,0.24,48.4,0,,,,,0,51.7,57.1,53.5,,53.9,Moderate Risk
MSME100937,Micro,Manufacturing,9.6,0,0,1,37.4,2.88,47800.0,2.0,1,24.0,32800.0,0.092,7.2,0,,,,,,0,,,,,0,45.1,57.2,,,50.6,Moderate Risk
MSME100938,Small,Construction,9.4,0,1,1,42.0,13.25,284200.0,4.0,1,73.0,169700.0,0.355,8.7,1,110100.0,65.7,0.35,0.389,45.7,0,,,,,0,45.5,50.1,49.1,,48.1,Moderate Risk
MSME100939,Micro,Manufacturing,3.0,1,0,1,14.5,18.35,38600.0,5.0,1,8.0,25800.0,0.179,19.27,1,10200.0,64.7,0.35,0.455,64.8,0,,,,,0,30.8,44.1,43.7,,39.3,High Risk
MSME100940,Micro,Food Processing,2.9,0,0,0,,,,,1,12.0,31500.0,0.408,5.42,0,,,,,,0,,,,,0,,50.5,,,50.5,Moderate Risk
MSME100941,Small,Services,7.9,0,0,1,49.8,10.52,259600.0,1.0,0,,,,,0,,,,,,0,,,,,0,56.1,,,,56.1,Moderate Risk
MSME100942,Micro,Services,5.6,0,1,1,35.2,-0.52,46700.0,4.0,1,17.0,24600.0,0.068,1.86,1,20800.0,65.3,0.86,0.25,40.2,0,,,,,0,37.9,62.4,57.8,,52.1,Moderate Risk
MSME100943,Micro,Textile,6.4,0,0,0,,,,,1,9.0,15800.0,0.592,9.7,1,10100.0,92.3,-0.06,0.638,65.6,0,,,,,1,,42.0,30.8,,35.9,High Risk
MSME100944,Micro,Services,5.1,0,0,1,59.8,0.15,35700.0,4.0,1,10.0,16400.0,0.735,22.1,1,15700.0,79.7,0.58,0.6,56.1,0,,,,,0,50.4,27.6,40.7,,40.3,Moderate Risk
MSME100945,Micro,Services,3.4,1,0,1,11.7,7.79,38400.0,5.0,1,7.0,18800.0,0.456,9.82,1,7700.0,82.2,0.38,0.458,59.0,0,,,,,0,26.2,45.4,42.0,,37.4,High Risk
MSME100946,Small,Manufacturing,7.6,0,0,1,83.9,-10.49,310400.0,2.0,1,83.0,156500.0,0.385,9.56,1,145100.0,35.9,1.05,0.326,31.8,0,,,,,0,64.3,48.7,64.0,,59.6,Moderate Risk
MSME100947,Small,Services,2.5,0,1,1,19.2,-12.25,220700.0,9.0,0,,,,,0,,,,,,0,,,,,1,16.4,,,,16.4,High Risk
MSME100948,Small,Manufacturing,18.0,0,0,1,96.5,4.02,379600.0,2.0,0,,,,,1,227100.0,45.7,1.75,0.272,15.7,1,30.0,87.3,20100.0,-2.67,0,75.0,,72.2,58.6,70.6,Low Risk
MSME100949,Micro,Textile,16.9,0,0,0,,,,,1,26.0,39400.0,0.21,4.13,0,,,,,,0,,,,,0,,56.9,,,56.9,Moderate Risk
MSME100950,Micro,Manufacturing,20.8,0,0,1,56.6,3.41,33800.0,7.0,1,6.0,15900.0,0.248,7.23,0,,,,,,1,5.0,75.5,14600.0,4.48,0,42.3,52.9,,53.9,48.6,Moderate Risk
MSME100951,Micro,Trading/Retail,5.9,0,0,1,77.3,11.23,50300.0,1.0,1,17.0,34400.0,0.369,10.71,0,,,,,,1,3.0,80.0,19400.0,1.1,0,70.0,47.0,,56.4,58.9,Moderate Risk
MSME100952,Micro,Trading/Retail,3.7,0,1,1,40.8,3.16,46300.0,1.0,1,6.0,26600.0,0.259,8.91,0,,,,,,0,,,,,0,49.3,51.1,,,50.1,Moderate Risk
MSME100953,Micro,Services,12.9,0,0,0,,,,,1,18.0,40800.0,0.228,11.0,1,29300.0,57.1,0.9,0.261,20.9,0,,,,,0,,50.3,63.1,,57.3,Moderate Risk
MSME100954,Medium,Agriculture & Allied,5.2,0,1,1,65.3,-6.91,1649500.0,5.0,1,428.0,933900.0,0.387,9.15,1,522400.0,54.2,0.85,0.42,55.6,0,,,,,0,48.6,55.1,52.0,,51.7,Moderate Risk
MSME100955,Small,Manufacturing,9.1,0,0,1,50.9,17.0,219200.0,0.0,0,,,,,1,67700.0,54.1,1.13,0.189,25.3,0,,,,,0,61.0,,66.4,,63.7,Low Risk
MSME100956,Small,Manufacturing,9.1,0,0,1,79.4,14.76,392800.0,0.0,0,,,,,1,186100.0,29.1,0.6,0.286,32.4,0,,,,,0,74.6,,62.7,,68.6,Low Risk
MSME100957,Micro,Manufacturing,2.6,1,1,0,,,,,1,6.0,18900.0,0.552,13.14,0,,,,,,0,,,,,1,,40.0,,,40.0,High Risk
MSME100958,Micro,IT/ITES,7.5,0,0,0,,,,,1,5.0,32200.0,0.49,11.5,1,8900.0,68.3,0.27,0.449,55.2,0,,,,,0,,43.0,44.5,,43.8,Moderate Risk
MSME100959,Micro,Textile,8.8,0,1,1,63.9,-7.73,39400.0,4.0,1,7.0,18600.0,0.323,10.63,1,7800.0,50.9,0.76,0.316,43.6,0,,,,,0,50.1,48.0,57.1,,52.0,Moderate Risk
MSME100960,Micro,Trading/Retail,4.7,1,0,1,5.0,-13.19,22200.0,12.0,1,1.0,8100.0,0.615,18.24,0,,,,,,0,,,,,0,9.0,33.9,,,20.3,High Risk
MSME100961,Micro,Food Processing,1.4,0,0,0,,,,,0,,,,,1,10500.0,109.4,-0.18,0.609,64.7,0,,,,,1,,,27.9,,27.9,High Risk
MSME100962,Micro,Construction,13.1,0,0,0,,,,,1,20.0,26000.0,0.341,11.77,0,,,,,,0,,,,,0,,46.8,,,46.8,Moderate Risk
MSME100963,Micro,Construction,17.7,0,0,1,44.8,-11.74,43400.0,8.0,1,7.0,30300.0,0.256,11.74,0,,,,,,0,,,,,0,29.4,48.8,,,38.2,High Risk
MSME100964,Medium,Services,5.5,0,1,1,94.6,-19.65,2345700.0,4.0,0,,,,,1,571900.0,53.6,1.18,0.292,29.5,1,95.0,79.5,19300.0,-0.37,0,61.9,,63.3,55.5,61.2,Low Risk
MSME100965,Micro,Construction,4.0,1,0,1,5.0,7.92,28200.0,8.0,1,5.0,15500.0,0.425,22.29,0,,,,,,0,,,,,0,15.4,35.2,,,24.4,High Risk
MSME100966,Medium,Services,1.2,1,0,0,,,,,1,9.0,25000.0,0.233,14.04,0,,,,,,1,96.0,54.4,17300.0,1.51,0,,47.4,,43.0,45.8,Moderate Risk
MSME100967,Micro,Trading/Retail,5.7,0,1,0,,,,,1,13.0,30700.0,0.496,6.97,1,24200.0,70.9,1.04,0.484,52.6,0,,,,,0,,46.9,49.4,,48.3,Moderate Risk
MSME100968,Micro,Trading/Retail,3.5,1,1,1,6.7,0.11,38600.0,6.0,1,4.0,19000.0,0.506,13.05,0,,,,,,0,,,,,1,18.9,41.2,,,29.0,High Risk
MSME100969,Micro,Manufacturing,1.2,1,0,1,5.0,-1.12,30100.0,4.0,1,5.0,11200.0,0.682,19.01,1,6200.0,119.8,0.77,0.529,60.9,0,,,,,0,22.7,31.5,36.1,,30.0,High Risk
MSME100970,Micro,Trading/Retail,9.7,0,0,1,28.3,-17.56,38400.0,5.0,1,12.0,21000.0,0.548,11.35,1,12800.0,60.7,0.8,0.264,55.1,0,,,,,0,26.9,41.8,54.8,,41.1,Moderate Risk
MSME100971,Micro,Manufacturing,7.8,0,1,1,51.6,10.14,34900.0,3.0,1,6.0,21800.0,0.273,8.37,0,,,,,,1,3.0,47.2,17400.0,3.01,1,51.8,51.3,,40.1,49.1,Moderate Risk
MSME100972,Micro,Textile,3.1,0,0,1,9.8,-2.71,37400.0,4.0,1,8.0,17100.0,0.315,11.61,0,,,,,,1,2.0,14.3,12700.0,1.55,1,24.6,47.4,,21.2,32.0,High Risk
MSME100973,Small,Textile,15.5,0,1,0,,,,,1,5.0,33600.0,0.282,11.39,1,24800.0,57.8,0.49,0.432,37.3,1,30.0,13.8,14600.0,6.09,0,,48.4,52.0,23.8,44.7,Moderate Risk
MSME100974,Micro,Trading/Retail,4.9,0,0,1,13.9,-7.52,43100.0,5.0,1,6.0,16200.0,0.346,15.21,0,,,,,,0,,,,,0,22.7,43.4,,,32.1,High Risk
MSME100975,Micro,Trading/Retail,5.5,1,1,1,16.2,-0.07,48700.0,1.0,1,13.0,34200.0,0.247,11.74,1,17200.0,72.2,0.91,0.496,48.5,1,3.0,26.6,12900.0,-1.86,0,36.1,49.1,48.7,25.9,41.6,Moderate Risk
MSME100976,Micro,Food Processing,4.4,1,1,1,21.1,2.03,28100.0,7.0,1,3.0,13400.0,0.377,15.66,0,,,,,,0,,,,,0,24.2,42.2,,,32.4,High Risk
MSME100977,Micro,Services,10.6,0,0,1,49.3,-2.49,41900.0,3.0,1,7.0,19700.0,0.1,12.37,1,7300.0,79.4,0.91,0.38,46.1,0,,,,,0,46.9,52.2,51.1,,49.9,Moderate Risk
MSME100978,Micro,Trading/Retail,7.6,0,0,0,,,,,1,20.0,34200.0,0.421,7.05,1,22100.0,40.9,0.8,0.408,53.2,0,,,,,0,,48.9,54.7,,52.1,Moderate Risk
MSME100979,Micro,Textile,0.7,1,1,0,,,,,1,8.0,16500.0,0.258,16.2,0,,,,,,1,5.0,12.0,8000.0,3.09,0,,44.8,,19.0,35.1,High Risk
MSME100980,Medium,Trading/Retail,5.2,0,0,0,,,,,0,,,,,1,22900.0,78.9,0.88,0.509,48.7,0,,,,,0,,,47.0,,47.0,Moderate Risk
MSME100981,Small,Trading/Retail,9.0,0,0,0,,,,,1,14.0,34500.0,0.613,10.97,1,13000.0,60.2,1.38,0.457,39.2,0,,,,,0,,40.5,57.2,,49.6,Moderate Risk
MSME100982,Small,Construction,1.2,1,0,1,12.1,11.37,155800.0,4.0,1,23.0,73100.0,0.667,17.15,1,43800.0,75.1,0.82,0.597,56.7,0,,,,,0,30.0,33.9,43.2,,35.8,High Risk
MSME100983,Micro,Services,8.9,0,1,1,40.4,-1.91,41100.0,3.0,1,13.0,23600.0,0.54,8.23,0,,,,,,0,,,,,1,42.6,44.7,,,43.6,Moderate Risk
MSME100984,Micro,Manufacturing,7.7,0,0,1,11.4,1.17,33500.0,1.0,1,5.0,19000.0,0.46,12.0,1,5200.0,105.3,0.16,0.582,71.8,0,,,,,0,34.1,43.3,30.4,,35.5,High Risk
MSME100985,Medium,Food Processing,2.2,1,0,1,56.6,-19.38,1473400.0,5.0,1,351.0,602800.0,0.246,11.65,1,452600.0,49.5,1.12,0.499,45.0,1,76.0,32.7,15000.0,8.88,0,40.5,55.1,54.9,34.7,47.6,Moderate Risk
MSME100986,Micro,Agriculture & Allied,4.3,0,0,0,,,,,1,9.0,25200.0,0.575,14.26,0,,,,,,0,,,,,0,,38.5,,,38.5,High Risk
MSME100987,Micro,Trading/Retail,1.6,0,0,1,10.7,2.57,40000.0,7.0,1,7.0,14800.0,0.403,13.09,0,,,,,,0,,,,,0,19.1,43.8,,,30.3,High Risk
MSME100988,Micro,Food Processing,3.2,1,1,0,,,,,1,11.0,27400.0,0.614,13.12,0,,,,,,0,,,,,1,,38.5,,,38.5,High Risk
MSME100989,Small,Trading/Retail,4.2,0,0,1,20.9,5.22,254500.0,2.0,1,42.0,125700.0,0.435,11.48,0,,,,,,0,,,,,0,37.5,45.1,,,41.0,Moderate Risk
MSME100990,Small,Services,8.2,0,1,1,89.5,-16.47,284900.0,1.0,0,,,,,1,152100.0,18.6,1.48,0.1,22.3,1,21.0,97.9,19500.0,-3.1,0,67.8,,78.1,63.5,71.1,Low Risk
MSME100991,Small,Manufacturing,9.4,0,0,0,,,,,0,,,,,1,20700.0,67.1,1.23,0.375,39.0,1,15.0,46.2,13900.0,4.88,0,,,57.2,39.2,51.2,Moderate Risk
MSME100992,Small,Manufacturing,6.1,0,1,1,69.4,0.78,254700.0,1.0,0,,,,,1,107600.0,53.5,0.9,0.289,35.4,0,,,,,0,62.9,,60.1,,61.5,Low Risk
MSME100993,Micro,Trading/Retail,4.1,0,1,1,17.6,12.16,29800.0,5.0,1,4.0,15100.0,0.683,8.98,1,10700.0,75.1,0.69,0.531,41.8,0,,,,,0,30.4,40.3,47.0,,39.2,High Risk
MSME100994,Medium,Textile,8.7,0,1,1,66.8,0.84,2602300.0,3.0,1,750.0,1707200.0,0.2,6.09,0,,,,,,1,125.0,69.6,13500.0,4.04,0,56.7,68.2,,50.3,59.4,Moderate Risk
MSME100995,Micro,Manufacturing,5.6,1,0,0,,,,,1,11.0,18200.0,0.412,12.86,1,11200.0,81.7,0.38,0.645,59.2,0,,,,,1,,43.9,37.0,,40.1,Moderate Risk
MSME100996,Small,Agriculture & Allied,6.6,0,0,0,,,,,1,12.0,40200.0,0.3,3.1,0,,,,,,1,26.0,27.3,19700.0,-2.43,0,,55.3,,28.6,45.3,Moderate Risk
MSME100997,Micro,Manufacturing,9.7,0,0,1,66.2,9.0,36400.0,3.0,1,6.0,20200.0,0.149,6.09,1,16000.0,79.3,0.68,0.405,35.8,0,,,,,0,58.8,56.4,50.8,,55.3,Moderate Risk
MSME100998,Medium,Textile,8.4,0,1,1,43.2,3.66,2282200.0,1.0,0,,,,,0,,,,,,1,76.0,44.0,17300.0,-10.39,0,50.7,,,32.3,44.6,Moderate Risk
MSME100999,Micro,Services,6.6,0,1,0,,,,,1,7.0,31500.0,0.569,14.4,1,8600.0,80.0,0.12,0.459,51.7,1,5.0,13.7,15700.0,-4.75,0,,38.5,41.8,19.2,35.8,High Risk
MSME101000,Micro,Manufacturing,7.6,0,0,1,33.3,-2.15,37400.0,0.0,0,,,,,0,,,,,,0,,,,,0,46.5,,,,46.5,Moderate Risk
MSME101001,Micro,Construction,3.1,0,0,1,42.1,8.95,23500.0,4.0,1,3.0,14900.0,0.184,11.15,0,,,,,,1,0.0,15.5,13900.0,-2.79,0,44.2,51.1,,20.3,41.5,Moderate Risk
MSME101002,Micro,Construction,2.8,1,1,1,13.6,-3.73,29000.0,3.0,1,7.0,11900.0,0.269,13.26,0,,,,,,0,,,,,0,28.7,47.1,,,37.1,High Risk
MSME101003,Micro,Services,17.6,0,0,0,,,,,1,20.0,39400.0,0.193,0.82,1,16800.0,41.4,0.97,0.336,38.9,0,,,,,0,,60.1,60.7,,60.4,Low Risk
MSME101004,Small,Manufacturing,2.7,0,0,1,10.5,6.45,227700.0,1.0,1,55.0,87200.0,0.359,10.18,1,64300.0,67.5,0.8,0.577,52.0,0,,,,,0,35.2,48.4,45.9,,42.9,Moderate Risk
MSME101005,Micro,Services,9.8,0,0,1,94.9,13.72,58500.0,1.0,1,17.0,55600.0,0.041,1.08,1,30000.0,29.1,1.2,0.153,15.1,0,,,,,0,79.6,63.7,74.2,,73.0,Low Risk
MSME101006,Medium,Services,4.0,1,1,1,15.7,13.56,1885200.0,4.0,0,,,,,0,,,,,,1,88.0,23.8,12400.0,-0.57,0,32.4,,,24.9,29.9,High Risk
MSME101007,Micro,Manufacturing,8.1,0,0,1,87.6,16.86,46200.0,1.0,1,11.0,27800.0,0.297,6.27,0,,,,,,0,,,,,0,76.9,52.6,,,65.9,Low Risk
MSME101008,Small,Construction,0.6,1,0,0,,,,,1,15.0,22100.0,0.485,13.82,0,,,,,,0,,,,,0,,41.3,,,41.3,Moderate Risk
MSME101009,Micro,Manufacturing,1.5,1,0,0,,,,,1,5.0,21100.0,0.262,8.19,1,8200.0,69.1,1.24,0.482,48.6,0,,,,,0,,51.7,52.1,,51.9,Moderate Risk
MSME101010,Small,Services,10.2,0,0,1,54.3,21.14,383800.0,0.0,1,103.0,317400.0,0.282,2.51,1,128000.0,53.6,1.13,0.358,27.2,0,,,,,0,64.0,57.9,61.6,,61.4,Low Risk
MSME101011,Micro,Services,1.0,1,1,0,,,,,1,15.0,17800.0,0.369,15.54,1,12300.0,91.7,-0.14,0.601,64.4,0,,,,,0,,42.7,31.5,,36.6,High Risk
MSME101012,Micro,IT/ITES,3.2,1,0,0,,,,,1,11.0,30400.0,0.403,15.34,0,,,,,,0,,,,,0,,41.9,,,41.9,Moderate Risk
MSME101013,Medium,Manufacturing,13.3,0,0,1,68.6,11.38,2906700.0,1.0,0,,,,,1,642800.0,48.4,1.16,0.27,22.7,1,95.0,65.1,14200.0,-1.51,0,65.7,,66.0,45.8,61.8,Low Risk
MSME101014,Micro,Trading/Retail,9.4,0,0,1,43.4,-5.88,34700.0,0.0,1,10.0,14800.0,0.4,12.94,0,,,,,,0,,,,,0,50.4,44.1,,,47.5,Moderate Risk
MSME101015,Micro,Trading/Retail,3.8,1,1,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,,
MSME101016,Small,Food Processing,2.7,1,1,1,7.6,-14.69,210300.0,3.0,1,51.0,76100.0,0.243,12.93,1,66200.0,77.2,0.3,0.414,42.1,0,,,,,0,22.4,48.8,46.8,,38.8,High Risk
MSME101017,Small,Services,14.7,1,1,1,96.9,2.06,362900.0,0.0,1,115.0,285200.0,0.056,3.67,1,175100.0,40.4,1.36,0.112,25.7,1,29.0,95.2,19500.0,8.67,0,79.6,62.8,72.5,67.6,71.5,Low Risk
MSME101018,Micro,Manufacturing,2.9,0,0,0,,,,,1,8.0,18800.0,0.469,20.22,0,,,,,,0,,,,,0,,35.9,,,35.9,High Risk
MSME101019,Micro,Trading/Retail,6.4,0,1,1,37.1,-5.52,33500.0,1.0,1,8.0,21900.0,0.374,2.36,1,14900.0,75.5,0.53,0.389,50.4,0,,,,,0,44.9,54.0,47.8,,48.6,Moderate Risk
MSME101020,Small,Agriculture & Allied,12.6,0,0,1,64.1,-0.13,391800.0,2.0,1,122.0,233500.0,0.245,7.52,1,110900.0,61.0,1.31,0.32,36.0,0,,,,,0,57.5,54.8,60.9,,57.9,Moderate Risk
